"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Sridhar-Laptop",,,,"User:","sridhar"
"Cmdline:","dstat -cmstTy --fs --output /home/sridhar/shadow_new/resource/examples/scallion/trytor1/data/dstat.log",,,,"Date:","10 Nov 2013 16:36:18 EST"

"total cpu usage",,,,,,"memory usage",,,,"swap",,"system","epoch","system",,"filesystem",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","time","epoch","int","csw","files","inodes"
26.250,6.167,66.521,1.000,0.001,0.061,2688512000.0,425304064.0,2399027200.0,739561472.0,614957056.0,408449024.0,10-11 16:36:18,1384119378.115,252.088,750.890,15008.0,44961.0
37.940,2.764,57.286,2.010,0.0,0.0,2699575296.0,425304064.0,2407026688.0,720498688.0,614957056.0,408449024.0,10-11 16:36:19,1384119379.116,1751.0,5398.0,15104.0,45048.0
40.500,3.0,56.500,0.0,0.0,0.0,2714165248.0,425304064.0,2403536896.0,709398528.0,614957056.0,408449024.0,10-11 16:36:20,1384119380.116,1717.0,4284.0,15104.0,45048.0
27.411,0.761,70.305,1.523,0.0,0.0,2731913216.0,425304064.0,2403667968.0,691519488.0,614957056.0,408449024.0,10-11 16:36:21,1384119381.116,1546.0,3811.0,15104.0,45064.0
28.571,1.504,69.925,0.0,0.0,0.0,2743889920.0,425304064.0,2402074624.0,681136128.0,614957056.0,408449024.0,10-11 16:36:22,1384119382.116,1498.0,3621.0,15040.0,44981.0
26.884,2.764,68.090,2.261,0.0,0.0,2745118720.0,425312256.0,2405945344.0,676028416.0,614957056.0,408449024.0,10-11 16:36:23,1384119383.116,1564.0,3944.0,15040.0,44991.0
26.700,2.267,68.262,2.771,0.0,0.0,2757328896.0,425324544.0,2406645760.0,663105536.0,614957056.0,408449024.0,10-11 16:36:24,1384119384.116,1501.0,3603.0,15040.0,44997.0
27.820,1.754,70.426,0.0,0.0,0.0,2760273920.0,425324544.0,2407890944.0,658915328.0,614957056.0,408449024.0,10-11 16:36:25,1384119385.116,1535.0,3772.0,15040.0,45004.0
25.622,4.478,68.408,1.493,0.0,0.0,2762932224.0,425336832.0,2412105728.0,652029952.0,614957056.0,408449024.0,10-11 16:36:26,1384119386.116,1631.0,3917.0,15040.0,45005.0
26.382,3.769,69.849,0.0,0.0,0.0,2763337728.0,425336832.0,2425286656.0,638443520.0,614957056.0,408449024.0,10-11 16:36:27,1384119387.116,1532.0,3812.0,15040.0,45006.0
27.500,5.0,55.750,11.750,0.0,0.0,2763780096.0,425340928.0,2435162112.0,628121600.0,614957056.0,408449024.0,10-11 16:36:28,1384119388.116,1769.0,4029.0,15040.0,45061.0
25.815,4.261,69.925,0.0,0.0,0.0,2763513856.0,425340928.0,2441777152.0,621772800.0,614957056.0,408449024.0,10-11 16:36:29,1384119389.116,1528.0,3640.0,15040.0,45059.0
27.089,3.291,67.595,2.025,0.0,0.0,2763599872.0,425345024.0,2448543744.0,614916096.0,614957056.0,408449024.0,10-11 16:36:30,1384119390.116,1541.0,3940.0,15040.0,45059.0
33.584,5.764,50.125,10.526,0.0,0.0,2763214848.0,425353216.0,2453553152.0,610283520.0,614957056.0,408449024.0,10-11 16:36:31,1384119391.116,1883.0,5854.0,15168.0,45162.0
41.414,4.798,53.788,0.0,0.0,0.0,2763235328.0,425353216.0,2460135424.0,603680768.0,614957056.0,408449024.0,10-11 16:36:32,1384119392.116,1763.0,5567.0,15168.0,45164.0
26.633,3.266,68.593,1.508,0.0,0.0,2762985472.0,425361408.0,2467233792.0,596824064.0,614957056.0,408449024.0,10-11 16:36:33,1384119393.116,1570.0,4144.0,15168.0,45165.0
29.280,3.970,66.749,0.0,0.0,0.0,2762653696.0,425361408.0,2467835904.0,596553728.0,614957056.0,408449024.0,10-11 16:36:34,1384119394.115,1604.0,3797.0,15072.0,45040.0
25.436,4.738,67.830,1.995,0.0,0.0,2764144640.0,425377792.0,2470920192.0,591962112.0,614957056.0,408449024.0,10-11 16:36:35,1384119395.116,1542.0,3752.0,15040.0,45007.0
25.0,3.788,70.960,0.253,0.0,0.0,2763440128.0,425377792.0,2477965312.0,585621504.0,614957056.0,408449024.0,10-11 16:36:36,1384119396.116,1471.0,3691.0,15040.0,45005.0
24.812,4.511,68.170,2.506,0.0,0.0,2763513856.0,425385984.0,2485198848.0,578306048.0,614957056.0,408449024.0,10-11 16:36:37,1384119397.116,1462.0,3751.0,15040.0,45005.0
21.914,3.526,67.758,6.801,0.0,0.0,2763698176.0,425394176.0,2490286080.0,573026304.0,614957056.0,408449024.0,10-11 16:36:38,1384119398.116,1480.0,3862.0,15040.0,45003.0
26.263,2.525,71.212,0.0,0.0,0.0,2763874304.0,425394176.0,2496839680.0,566296576.0,614957056.0,408449024.0,10-11 16:36:39,1384119399.116,1495.0,3494.0,15040.0,45005.0
26.316,3.258,68.421,1.754,0.0,0.251,2764042240.0,425398272.0,2503651328.0,559312896.0,614957056.0,408449024.0,10-11 16:36:40,1384119400.116,1518.0,3810.0,15040.0,45005.0
24.810,4.051,68.861,2.278,0.0,0.0,2764017664.0,425398272.0,2510786560.0,552202240.0,614957056.0,408449024.0,10-11 16:36:41,1384119401.116,1468.0,3794.0,15040.0,45004.0
23.267,4.455,69.554,2.723,0.0,0.0,2767769600.0,425402368.0,2517409792.0,541822976.0,614957056.0,408449024.0,10-11 16:36:42,1384119402.116,1454.0,3535.0,15040.0,45003.0
25.743,3.713,65.099,5.446,0.0,0.0,2765017088.0,425406464.0,2523078656.0,538902528.0,614957056.0,408449024.0,10-11 16:36:43,1384119403.116,1541.0,3871.0,15040.0,45004.0
28.358,4.229,65.423,1.990,0.0,0.0,2764521472.0,425414656.0,2530033664.0,532434944.0,614957056.0,408449024.0,10-11 16:36:44,1384119404.116,1582.0,3907.0,15040.0,45003.0
26.065,4.010,69.925,0.0,0.0,0.0,2764554240.0,425414656.0,2536730624.0,525705216.0,614957056.0,408449024.0,10-11 16:36:45,1384119405.116,1512.0,3861.0,15040.0,45003.0
27.820,4.261,59.148,8.772,0.0,0.0,2763677696.0,425422848.0,2541535232.0,521768960.0,614957056.0,408449024.0,10-11 16:36:46,1384119406.116,1642.0,4255.0,15040.0,45012.0
29.0,4.0,67.0,0.0,0.0,0.0,2763603968.0,425422848.0,2548338688.0,515039232.0,614957056.0,408449024.0,10-11 16:36:47,1384119407.116,1551.0,4042.0,15040.0,45013.0
26.119,4.478,66.915,2.488,0.0,0.0,2763395072.0,425431040.0,2555301888.0,508276736.0,614957056.0,408449024.0,10-11 16:36:48,1384119408.116,1595.0,4136.0,15040.0,45012.0
27.735,3.308,68.957,0.0,0.0,0.0,2763526144.0,425431040.0,2562351104.0,501096448.0,614957056.0,408449024.0,10-11 16:36:49,1384119409.116,1517.0,3763.0,15040.0,45013.0
24.051,4.304,63.038,8.608,0.0,0.0,2763898880.0,425431040.0,2567184384.0,495890432.0,614957056.0,408449024.0,10-11 16:36:50,1384119410.116,1675.0,4629.0,15040.0,45023.0
35.101,6.566,56.566,1.768,0.0,0.0,2763939840.0,425435136.0,2594693120.0,468336640.0,614957056.0,408449024.0,10-11 16:36:51,1384119411.116,1733.0,5036.0,15104.0,45118.0
37.897,5.134,56.968,0.0,0.0,0.0,2764681216.0,425435136.0,2602078208.0,460210176.0,614957056.0,408449024.0,10-11 16:36:52,1384119412.116,1725.0,4574.0,15104.0,45128.0
